Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status,Source File
10,Agriculture,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",2019-20,246.91,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",2019-20,246.91,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",2019-20,246.91,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme: 0104 Fisheries Resources 2.46 2.42 2.15 98.2% 87.5% 89.1%
Development Projects.
1494 Promoting commercial aquaculture in Uganda Project 2.46 2.42 2.15 98.2% 87.5% 89.1%",2019-20,2.46,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme: 0149 Policy, Planning and Support 21.91 2.34 2.34 10.7% 10.7% 100.0%
Services
Development Projects.
1444 Agriculture Value Chain Development 21.91 2.34 2.34 10.7% 10.7% 100.0%",2019-20,21.91,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme: 0149 Policy, Planning and Support 21.91 2.34 2.34 10.7% 10.7% 100.0%
Services
Development Projects.
1444 Agriculture Value Chain Development 21.91 2.34 2.34 10.7% 10.7% 100.0%",2019-20,21.91,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221004 Recruitment Expenses
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",2019-20,8.94,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,0105 Urban Commercial and Production Services,2019-20,7.19,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme 0105 Urban Commercial and Production
Services",2019-20,7.19,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,13 Urban Commercial and Production Services,2019-20,0.85,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,0100 NAADS,2019-20,6.33,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"01 Headquarters-NAGRC&DB
02 Dairy cattle
03 Beef cattle
04 Poultry
05 Small ruminants &non ruminants
06 Pasture and feeds
08 National Animal Data Bank
09 Fish breeding and production
10 Assisted Reproductive Technologies (ARTs)",2019-20,5.18,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",2019-20,25.58,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,0151 Agricultural Research,2019-20,79.66,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,Programme 0151 Agricultural Research,2019-20,79.66,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"01 Headquarters
07 National Crops Resources Research Institute",2019-20,35.07,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0382 Support for NARO
1560 Relocation and Operationalisation of the National
Livestock Resources Research Institute (NALIRRI)",2019-20,35.44,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,0154 Agriculture Advisory Services,2019-20,145.89,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,0154 Agriculture Advisory Services,2019-20,145.89,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,Programme 0154 Agriculture Advisory Services,2019-20,145.89,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,Programme 0154 Agriculture Advisory Services,2019-20,145.89,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",2019-20,100.91,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212201 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223001 Property Expenses
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
226001 Insurances
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",2019-20,4.43,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221005 Hire of Venue (chairs, projector, etc)
221007 Books, Periodicals & Newspapers
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
223901 Rent – (Produced Assets) to other govt. units
224001 Medical Supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
225003 Taxes on (Professional) Services
226001 Insurances
227001 Travel inland
227002 Travel abroad
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
282101 Donations",2019-20,94.78,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"0301 Energy Planning,Management & Infrastructure
Dev't
0302 Large Hydro power infrastructure
0303 Petroleum Exploration, Development, Production,
Value Addition and Distribution and Petrolleum Products
0305 Mineral Exploration, Development & Value
Addition
0349 Policy, Planning and Support Services",2019-20,939.36,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme 0303 Petroleum Exploration, Development,
Production, Value Addition and Distribution and
Petrolleum Products",2019-20,76.02,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"04 Directorate of Petroleum
12 Petroleum Exploration, Development and Production
(Upstream) Department
13 Midstream Petroleum Department
14 Petroleum Supply (Downstream) Department",2019-20,2.05,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"1184 Construction of Oil Refinery
1352 Midstream Petroleum Infrastructure Development
Project
1355 Strengthening the Development and Production Phases
of Oil and Gas Sector
1410 Skills for Oil and Gas Africa (SOGA)",2019-20,12.41,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Programme: 0303 Petroleum Exploration, Development, 4.51 4.51 4.51 100.0% 100.0% 100.0%
Production, Value Addition and Distribution and
Petrolleum Products
Development Projects.
1410 Skills for Oil and Gas Africa (SOGA) 4.51 4.51 4.51 100.0% 100.0% 100.0%",2019-20,4.51,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"03 Petroleum Exploration
04 Development and Production
05 Refinery, Conversion, Transmission and Storage
06 Environmental and Data Management
07 Technical Support Services",2019-20,3.27,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",2019-20,84.22,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",2019-20,84.22,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",2019-20,84.22,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme 0701 Pre-Primary and Primary Education,2019-20,36.18,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme 0701 Pre-Primary and Primary Education,2019-20,36.18,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",2019-20,18.82,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",2019-20,18.82,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",2019-20,18.82,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme 0702 Secondary Education,2019-20,11.57,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme 0702 Secondary Education,2019-20,11.57,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"03 Secondary Education
14 Private Schools Department
1540 Development of Secondary Education Phase II",2019-20,4.38,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"03 Secondary Education
14 Private Schools Department
1540 Development of Secondary Education Phase II",2019-20,4.38,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"03 Secondary Education
14 Private Schools Department
1540 Development of Secondary Education Phase II",2019-20,4.38,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme 0704 Higher Education,2019-20,62.71,,,,,,ABPR%20FY%202019-20.pdf
13,Education,07 Higher Education,2019-20,53.42,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"1241 Development of Uganda Petroleum Institute Kigumba
1273 Support to Higher Education, Science & Technology
1491 African Centers of Excellence II",2019-20,5,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"0942 Development of BTVET
1310 Albertine Region Sustainable Development Project
1338 Skills Development Project
1368 John Kale Institute of Science and Technology
(JKIST)
1378 Support to the Implementation of Skilling Uganda
Strategy (BTC)
1412 The Technical Vocational Education and Training
(TVET-LEAD)
1432 OFID Funded Vocational Project Phase II",2019-20,15.97,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"04 Teacher Education
09 Education Standards Agency
1340 Development of PTCs Phase II
1457 Improvement of Muni and Kaliro National Teachers
Colleges
1458 Improvement of Secondary Teachers Education-
Kabale and Mubende NTCs",2019-20,12.16,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"04 Teacher Education
09 Education Standards Agency
1340 Development of PTCs Phase II
1457 Improvement of Muni and Kaliro National Teachers
Colleges
1458 Improvement of Secondary Teachers Education-
Kabale and Mubende NTCs",2019-20,12.16,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme 0707 Physical Education and Sports,2019-20,33.2,,,,,,ABPR%20FY%202019-20.pdf
13,Education,Programme 0710 Special Needs Education,2019-20,2.63,,,,,,ABPR%20FY%202019-20.pdf
13,Education,06 Special Needs Education and Career Guidance,2019-20,0.93,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"1308 Development and Improvement of Special Needs
Education (SNE)",2019-20,1.7,,,,,,ABPR%20FY%202019-20.pdf
10,Agriculture,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
212102 Pension for General Civil Service
212201 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
221020 IPPS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223901 Rent – (Produced Assets) to other govt. units
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils",2019-20,116.07,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"Programme: 0701 Pre-Primary and Primary Education 48.04 48.93 42.08 101.9% 87.6% 86.0%
Development Projects.
1296 Uganda Teacher and School Effectiveness Project 48.04 48.93 42.08 101.9% 87.6% 86.0%",2019-20,48.04,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"Programme: 0701 Pre-Primary and Primary Education 48.04 48.93 42.08 101.9% 87.6% 86.0%
Development Projects.
1296 Uganda Teacher and School Effectiveness Project 48.04 48.93 42.08 101.9% 87.6% 86.0%",2019-20,48.04,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"Programme: 0704 Higher Education 18.70 40.84 29.03 218.4% 155.3% 71.1%
Development Projects.
1273 Support to Higher Education, Science & Technology 0.00 33.53 12.92 3,352.9% 1,292.0% 38.5%
1491 African Centers of Excellence II 18.70 7.31 16.11 39.1% 86.2% 220.5%",2019-20,18.7,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"Programme: 0706 Quality and Standards 16.30 41.41 37.65 254.1% 231.0% 90.9%
Development Projects.
1458 Improvement of Secondary Teachers Education- 16.30 41.41 37.65 254.1% 231.0% 90.9%
Kabale and Mubende NTCs",2019-20,16.3,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"Programme: 0706 Quality and Standards 16.30 41.41 37.65 254.1% 231.0% 90.9%
Development Projects.
1458 Improvement of Secondary Teachers Education- 16.30 41.41 37.65 254.1% 231.0% 90.9%
Kabale and Mubende NTCs",2019-20,16.3,,,,,,ABPR%20FY%202019-20.pdf
13,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",2019-20,14.92,,,,,,ABPR%20FY%202019-20.pdf
