Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
10,Agric,"Programme : 82 District Production Services
SubProgramme : 0100 Production Development
321470 Development Grant
SubProgramme : 04 Production and Marketing
263308 Conditional transfers for Agric. Ext Salaries
321408 Conditional transfers to Agric. Ext Salaries
321448 Conditional Transfers for Production and marketing
321466 Sector Conditional Grant (Wage)",17/18,154.31,50.73,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme : 81 Pre-Primary and Primary Education
SubProgramme : 06 Education
263305 Conditional transfers for Primary Salaries
321411 Conditional transfers to Primary Education
321447 Conditional Transfer for School Inspection
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)",17/18,3016.59,1299.39,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme : 81 Primary Healthcare
SubProgramme : 05 Health
321466 Sector Conditional Grant (Wage)
321467 Sector Conditional Grant (Non-Wage)
SubProgramme : 1243 Rehabilitation and Construction of General Hospitals
321472 Transitional Development Grant
SubProgramme : 1385 HEALTH DEVELOPMENT
263201 LG Conditional grants",17/18,1029.22,336.3,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",17/18,107,77.51,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"0101 Crop Resources
0102 Directorate of Animal Resources
0103 Directorate of Agricultural Extension and Skills
Managment
0104 Fisheries Resources
0105 Agriculture Infrastructure, Mechanization and
Water for Agricultural Production
0149 Policy, Planning and Support Services",17/18,107,77.51,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",17/18,67.85,55.45,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"010302 Administration, HRD, and Accounting
010303 Agricultural extension co-ordination strengthened
010304 Provision of Agricultural production extension
services
010305 Provision of Value Addition extension services",17/18,6.75,2.64,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",17/18,19.23,16.63,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",17/18,19.23,16.63,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010501 Policies, laws, guidelines, plans and strategies
010502 Administration, HRD and Accounting
010504 Monitoring and evaluating the activities of the sector
010505 Creating and Enabling environment for Agriculture",17/18,3.99,3.12,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
010501 Policies, laws, guidelines, plans and strategies
010502 Administration, HRD and Accounting
010504 Monitoring and evaluating the activities of the sector
010505 Creating and Enabling environment for Agriculture",17/18,3.99,3.12,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
014901 Strategies, policies, plans and Guidelines
014902 Administration, HRD and Accounting
014903 Improving Value addition and market Access
014904 Monitoring and evaluating the activities of the sector
014905 Creating and Enabling environment for Agriculture
014906 Institutional Development In Agricultural Sector",17/18,25.9,27.07,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
014901 Strategies, policies, plans and Guidelines
014902 Administration, HRD and Accounting
014903 Improving Value addition and market Access
014904 Monitoring and evaluating the activities of the sector
014905 Creating and Enabling environment for Agriculture
014906 Institutional Development In Agricultural Sector",17/18,25.9,27.07,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Funded
014951 Secondment for MAAIF staff in Rome
014953 Support for Agricultural Training Institutions",17/18,1.45,1.45,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0104 Support for Tea Cocoa Seedlings
1195 Vegetable Oil Development Project-Phase 2
1238 Rice Development Project
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1361 Uganda-China South-South Coperation Phase 2
1364 The Potato Commercialisation Project
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project",17/18,1.47,1.47,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"0104 Support for Tea Cocoa Seedlings
1195 Vegetable Oil Development Project-Phase 2
1238 Rice Development Project
1263 Agriculture Cluster Development Project
1316 Enhancing National Food Security through increased
Rice production in Eastern Uganda
1361 Uganda-China South-South Coperation Phase 2
1364 The Potato Commercialisation Project
1386 Crop pests and diseases control phase 2
1425 Multisectoral Food Safety & Nutrition Project",17/18,1.47,1.47,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
09 Fisheries Resources Department
17 Department of Entomology",17/18,0.25,0.25,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"01 Headquarters
10 Department of Planning
13 Internal Audit
15 Department of Agricultural Infrastructure and Water for
Agricultural Production
22 Agricultural Statistical Unit
25 Human Resource Management Department",17/18,5.59,6.75,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"0076 Support for Institutional Development
1085 MAAIF Coordination/U Growth
1323 The Project on Irrigation Scheme Development in
Central and Eastern Uganda (PISD)-JICA Supported Project
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1357 Improving Access and Use of Agricultural Equipment
and Mechanisation through the use of labour Saving
Technologies
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",17/18,2.64,2.44,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"0076 Support for Institutional Development
1085 MAAIF Coordination/U Growth
1323 The Project on Irrigation Scheme Development in
Central and Eastern Uganda (PISD)-JICA Supported Project
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1357 Improving Access and Use of Agricultural Equipment
and Mechanisation through the use of labour Saving
Technologies
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",17/18,2.64,2.44,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Programme: 0101 Crop Resources 83.72 54.14 43.91 64.7% 52.5% 81.1%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 35.46 30.63 23.61 86.4% 66.6% 77.1%
1263 Agriculture Cluster Development Project 22.00 5.55 5.55 25.2% 25.2% 100.0%
1316 Enhancing National Food Security through increased 5.40 1.29 0.18 23.9% 3.3% 14.0%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 20.86 16.68 14.58 79.9% 69.9% 87.4%",17/18,83.72,54.14,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Programme: 0101 Crop Resources 83.72 54.14 43.91 64.7% 52.5% 81.1%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 35.46 30.63 23.61 86.4% 66.6% 77.1%
1263 Agriculture Cluster Development Project 22.00 5.55 5.55 25.2% 25.2% 100.0%
1316 Enhancing National Food Security through increased 5.40 1.29 0.18 23.9% 3.3% 14.0%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 20.86 16.68 14.58 79.9% 69.9% 87.4%",17/18,83.72,54.14,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Programme: 0103 Directorate of Agricultural Extension 22.01 17.05 16.15 77.5% 73.4% 94.7%
and Skills Managment
Development Projects.
1139 ATAAS (Grant) EU, WB and DANIDA Funded 18.34 17.05 16.15 93.0% 88.1% 94.7%",17/18,22.01,17.05,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,"Class: Outputs Provided
010503 Market Access for Urban Agriculture",17/18,2.07,1.91,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
010503 Market Access for Urban Agriculture",17/18,2.07,1.91,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
221002 Workshops and Seminars
223005 Electricity
223006 Water
224001 Medical Supplies
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
228001 Maintenance - Civil
228004 Maintenance – Other",17/18,2.07,1.91,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries (Incl. Casuals, Temporary)
211103 Allowances
212101 Social Security Contributions
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",17/18,7.58,5.26,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,0151 Agricultural Research,17/18,89.9,88.64,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,Programme 0151 Agricultural Research,17/18,89.9,88.64,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
015101 Generation of agricultural technologies
015102 Research extension interface promoted and
strengthened
015103 Internal Audit
015104 Agricultural research capacity strengthened
015105 Generation of technologies for priority commodities",17/18,72.22,75.03,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,Programme 0151 Agricultural Research,17/18,89.9,88.64,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Programme: 0151 Agricultural Research 45.54 45.54 45.54 100.0% 100.0% 100.0%
Development Projects.
1139 ATAAS (Grant) EU, WB and DANIDA Funded 45.54 45.54 45.54 100.0% 100.0% 100.0%",17/18,45.54,45.54,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,0154 Agriculture Advisory Services,17/18,279.7,279.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,0154 Agriculture Advisory Services,17/18,279.7,279.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,Programme 0154 Agriculture Advisory Services,17/18,279.7,279.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,Programme 0154 Agriculture Advisory Services,17/18,279.7,279.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
015406 Programme management and coordination
015414 Provision of priority and strategic Agricultural
Inputs to farmers
015415 Managing distribution of agricultural inputs
015418 Support to upper end Agricultural Value Chains and
Agribusiness Development
015422 Planning, Monitoring and Evaluation",17/18,278.47,277.58,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries (Incl. Casuals, Temporary)
211103 Allowances
212101 Social Security Contributions
212201 Social Security Contributions
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221004 Recruitment Expenses
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223901 Rent – (Produced Assets) to other govt. units
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",17/18,278.47,277.58,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agriculture,Programme 0154 Agriculture Advisory Services,17/18,279.7,279.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,Programme 0154 Agriculture Advisory Services,17/18,279.7,279.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
211102 Contract Staff Salaries (Incl. Casuals, Temporary)
211103 Allowances
212201 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221014 Bank Charges and other Bank related costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223001 Property Expenses
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil",17/18,3.11,3.11,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
030501 Policy Formulation Regulation
030502 Institutional capacity for the mineral sector
030503 Mineral Exploration, development, production and
value-addition promoted
030504 Health safety and Social Awareness for Miners
030505 Licencing and inspection",17/18,11.87,10.58,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Outputs Funded
060351 Management of National Parks and Game Reserves
(UWA)
060352 Wildlife Conservation and Education Services
(UWEC)
060353 Support to Uganda Wildlife Training Institute
060354 Tourism and Hotel Training(HTTI)",17/18,73.73,100.53,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",17/18,121.48,111.3,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0701 Pre-Primary and Primary Education,17/18,121.48,111.3,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0702 Secondary Education,17/18,13.44,11.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0704 Higher Education,17/18,122.17,138,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Funded
070551 Operational Support to UPPET BTVET Institutions
070552 Assessment and Technical Support for Health
Workers and Colleges
070553 Assessment and Profiling of Industrial Skills (DIT,
Industrial Training Council)
070554 Operational Support to Government Technical
Colleges",17/18,40.69,39.84,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0707 Physical Education and Sports,17/18,11.91,26.16,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0710 Special Needs Education,17/18,3.49,3.22,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Outputs Funded
071051 Special Needs Education Services",17/18,0.64,0.57,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Outputs Provided
074901 Policy, consultation, planning and monitoring
services
074902 Ministry Support Services
074903 Ministerial and Top Management Services
074904 Education Data and Information Services
074905 Financial Management and Accounting Services",17/18,39.02,39.02,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"074906 Education Sector Co-ordination and Planning
074919 Human Resource Management Services",17/18,0.61,0.61,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0701 Pre-Primary and Primary Education,17/18,121.48,111.3,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",17/18,14.3,13.09,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0702 Secondary Education,17/18,13.44,11.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"03 Secondary Education
14 Private Schools Department",17/18,0.89,0.8,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0897 Development of Secondary Education (0897),17/18,11.97,10.3,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0704 Higher Education,17/18,122.17,138,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,07 Higher Education,17/18,35.09,34.16,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"1241 Development of Uganda Petroleum Institute Kigumba
1273 Support to Higher Education, Science & Technology
1491 African Centers of Excellence II",17/18,7,7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"0942 Development of BTVET
1310 Albertine Region Sustainable Development Project
1338 Skills Development Project
1368 John Kale Institute of Science and Technology (JKIST)
1378 Support to the Implementation of Skilling Uganda
Strategy (BTC)
1412 The Technical Vocational Education and Training
(TVET-LEAD)
1432 OFID Funded Vocational Project Phase II
1433 IDB funded Technical and Vocational Education and
Training Phase III",17/18,47.88,25.76,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"04 Teacher Education
09 Education Standards Agency
1340 Development of PTCs Phase II",17/18,10.07,9.76,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0707 Physical Education and Sports,17/18,11.91,26.16,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0710 Special Needs Education,17/18,3.49,3.22,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,06 Special Needs Education and Career Guidance,17/18,1.43,1.24,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"1308 Development and Improvement of Special Needs
Education (SNE)",17/18,2.06,1.98,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"1435 Retooling and Capacity Development for Ministry of
Education and Sports",17/18,2.15,2.14,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme: 0701 Pre-Primary and Primary Education 94.94 86.31 76.53 90.9% 80.6% 88.7%
Development Projects.
1296 Uganda Teacher and School Effectiveness Project 94.94 86.31 76.53 90.9% 80.6% 88.7%",17/18,94.94,86.31,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme: 0704 Higher Education 72.59 89.43 77.86 123.2% 107.3% 87.1%
Development Projects.
1273 Support to Higher Education, Science & Technology 55.35 71.90 68.32 129.9% 123.4% 95.0%
1491 African Centers of Excellence II 17.24 17.53 9.54 101.7% 55.3% 54.4%",17/18,72.59,89.43,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme: 0706 Quality and Standards 47.10 0.76 0.89 1.6% 1.9% 117.0%
Development Projects.
1457 Improvement of Muni and Kaliro National Teachers 31.40 0.35 0.37 1.1% 1.2% 104.7%
Colleges
1458 Improvement of Secondary Teachers Education- 15.70 0.41 0.52 2.6% 3.3% 127.5%
Kabale and Mubende NTCs",17/18,47.1,0.76,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education and Research,17/18,33.34,35.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",17/18,33.34,35.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",17/18,33.34,35.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0708 Education and Social Services,17/18,37.96,37.47,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0708 Education and Social Services,17/18,37.96,37.47,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Outputs Provided
070801 Policies, Laws and strategy development
070802 School Inspection
070803 Community civic education
070804 Sports Development
070807 Primary Education Services (Wage)
070808 Secondary Education Services (Wage)
070809 Tertiary Education Services (Wage)",17/18,29.15,28.66,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Funded
070851 Primary education services
070852 Secondary education services
070853 Tertiary education services
070854 Health Training Institutions
070855 Primary Teachers' Colleges",17/18,6.13,6.13,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Outputs Funded
070851 Primary education services
070852 Secondary education services
070853 Tertiary education services
070854 Health Training Institutions
070855 Primary Teachers' Colleges",17/18,6.13,6.13,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Capital Purchases
070880 Primary education infrastructure construction
070881 Secondary education infrastructure construction",17/18,2.67,2.67,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0708 Education and Social Services,17/18,37.96,37.47,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,11 Education and Social Services,17/18,35.29,34.79,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education and Research,17/18,13.75,13.31,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",17/18,13.75,13.31,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",17/18,13.75,13.31,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Outputs Provided
070901 Primary Leaving Examinations
070902 Secondary Education
070903 Administration and Support Services",17/18,76.67,70.88,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0752 Education Personnel Policy and Management,17/18,6.91,6.91,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme 0752 Education Personnel Policy and
Management",17/18,6.91,6.91,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Outputs Provided
075201 Management of Education Service Personnel
075202 Policy ,Monitoring, Evaluation and Research
075203 Finance and Administration
075204 Internal Audit
075205 Procurement Services
075206 Information Science
075219 Human Resource Management Services
075220 Records Management Services",17/18,6.56,6.56,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme 0752 Education Personnel Policy and
Management",17/18,6.91,6.91,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,1271 Support to Education Service Commission,17/18,0.35,0.35,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education,17/18,248.05,253.19,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,244.2,253.19,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,244.2,253.19,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education,17/18,42.22,45.35,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,42.22,45.35,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,42.22,45.35,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
