Vote,Sector,Subprogram,Financial Year,"Approved Budget (UGX, Millions)",Released Budget (UGX),Actual Expenditure (UGX),Performance (%),Deviation (UGX),Execution Status,Source File
010,Agriculture,"06 Directorate of Animal Resources
07 Animal Production Department
08 Livestock Health and Entomology
17 Department of Entomology",Unknown,0.18,,,,,,ABPR%20FY%202019-20.pdf
014,Health,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",Unknown,0.31,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"1324 Nothern Uganda Farmers Livelihood Improvement
Project
1326 Farm-Based Bee Reserves Establishment Project
1330 Livestock Diseases Control Project Phase 2
1358 Meat Export Support Services
1363 Regional Pastoral Livelihood Improvement Project
1493 Developing A Market-Oriented And Environmentally
Sustainable Beef Meat Industry In Uganda",Unknown,0.31,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",Unknown,3.86,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme 0103 Directorate of Agricultural Extension
and Skills Managment",Unknown,3.86,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"23 Department of Agricultural Extension and Skills
Management (DAESM)
24 Department of Agricultural Investment and Enterprise
Development (DAIED)
26 Directorate of Agricultural Extension Services
1362 Agro-Economic Impact Deepening in the Albertine
Basin",Unknown,0.79,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"23 Department of Agricultural Extension and Skills
Management (DAESM)
24 Department of Agricultural Investment and Enterprise
Development (DAIED)
26 Directorate of Agricultural Extension Services
1362 Agro-Economic Impact Deepening in the Albertine
Basin",Unknown,0.79,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,Programme 0104 Fisheries Resources,Unknown,18.58,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"09 Fisheries Resources Department
16 Directorate of Fisheries Resources
18 Department of Aquaculture Management and
Development
19 Department of Fisheries Control, Regulation and Quality
Assurance",Unknown,0.61,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"1365 Support to Sustainable Fisheries Development Project
1494 Promoting commercial aquaculture in Uganda Project",Unknown,8.24,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",Unknown,48.44,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",Unknown,48.44,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme 0105 Agriculture Infrastructure,
Mechanization and Water for Agricultural Production",Unknown,48.44,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"15 Department of Agricultural Infrastructure and Water for
Agricultural Production",Unknown,0.78,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"15 Department of Agricultural Infrastructure and Water for
Agricultural Production",Unknown,0.78,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"1323 The Project on Irrigation Scheme Development in
Central and Eastern Uganda (PISD)-JICA Supported Project
1357 Improving Access and Use of Agricultural Equipment
and Mechanisation through the use of labour Saving
Technologies",Unknown,1.82,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"1323 The Project on Irrigation Scheme Development in
Central and Eastern Uganda (PISD)-JICA Supported Project
1357 Improving Access and Use of Agricultural Equipment
and Mechanisation through the use of labour Saving
Technologies",Unknown,1.82,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"01 Headquarters
10 Department of Planning
13 Internal Audit
22 Agricultural Statistical Unit
25 Human Resource Management Department",Unknown,4.93,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0076 Support for Institutional Development
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",Unknown,10.47,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0076 Support for Institutional Development
1327 National Farmers Leadership Center (NFLC)
1328 Support to Agricultural Training Institutions
1401 National Food and Agricultural Statistics System
(NFASS)
1411 The COMESA Seed Harmonization Implementation
Plan (COMSHIP) Project
1444 Agriculture Value Chain Development",Unknown,10.47,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",Unknown,246.91,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",Unknown,246.91,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme: 0101 Crop Resources 246.91 152.87 135.61 61.9% 54.9% 88.7%
Development Projects.
1195 Vegetable Oil Development Project-Phase 2 9.89 9.84 9.55 99.5% 96.6% 97.1%
1263 Agriculture Cluster Development Project 115.30 91.43 76.10 79.3% 66.0% 83.2%
1316 Enhancing National Food Security through increased 41.00 0.23 0.22 0.5% 0.5% 99.8%
Rice production in Eastern Uganda
1425 Multisectoral Food Safety & Nutrition Project 23.07 23.02 22.50 99.8% 97.5% 97.7%
1508 National Oil Palm Project 57.65 28.35 27.23 49.2% 47.2% 96.0%",Unknown,246.91,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme: 0104 Fisheries Resources 2.46 2.42 2.15 98.2% 87.5% 89.1%
Development Projects.
1494 Promoting commercial aquaculture in Uganda Project 2.46 2.42 2.15 98.2% 87.5% 89.1%",Unknown,2.46,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme: 0149 Policy, Planning and Support 21.91 2.34 2.34 10.7% 10.7% 100.0%
Services
Development Projects.
1444 Agriculture Value Chain Development 21.91 2.34 2.34 10.7% 10.7% 100.0%",Unknown,21.91,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme: 0149 Policy, Planning and Support 21.91 2.34 2.34 10.7% 10.7% 100.0%
Services
Development Projects.
1444 Agriculture Value Chain Development 21.91 2.34 2.34 10.7% 10.7% 100.0%",Unknown,21.91,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221004 Recruitment Expenses
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",Unknown,8.94,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,0105 Urban Commercial and Production Services,Unknown,7.19,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme 0105 Urban Commercial and Production
Services",Unknown,7.19,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,13 Urban Commercial and Production Services,Unknown,0.85,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,0100 NAADS,Unknown,6.33,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"01 Headquarters-NAGRC&DB
02 Dairy cattle
03 Beef cattle
04 Poultry
05 Small ruminants &non ruminants
06 Pasture and feeds
08 National Animal Data Bank
09 Fish breeding and production
10 Assisted Reproductive Technologies (ARTs)",Unknown,5.18,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224001 Medical Supplies
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",Unknown,25.58,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,0151 Agricultural Research,Unknown,79.66,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,Programme 0151 Agricultural Research,Unknown,79.66,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"01 Headquarters
07 National Crops Resources Research Institute",Unknown,35.07,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0382 Support for NARO
1560 Relocation and Operationalisation of the National
Livestock Resources Research Institute (NALIRRI)",Unknown,35.44,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,0154 Agriculture Advisory Services,Unknown,145.89,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,0154 Agriculture Advisory Services,Unknown,145.89,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,Programme 0154 Agriculture Advisory Services,Unknown,145.89,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,Programme 0154 Agriculture Advisory Services,Unknown,145.89,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221016 IFMS Recurrent costs
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
226001 Insurances
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",Unknown,100.91,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212201 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221003 Staff Training
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223001 Property Expenses
223002 Rates
223004 Guard and Security services
223005 Electricity
223006 Water
224006 Agricultural Supplies
226001 Insurances
227001 Travel inland
227002 Travel abroad
227003 Carriage, Haulage, Freight and transport hire
227004 Fuel, Lubricants and Oils
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture",Unknown,4.43,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Class: Outputs Provided
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
213001 Medical expenses (To employees)
213002 Incapacity, death benefits and funeral expenses
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221005 Hire of Venue (chairs, projector, etc)
221007 Books, Periodicals & Newspapers
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221017 Subscriptions
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223007 Other Utilities- (fuel, gas, firewood, charcoal)
223901 Rent – (Produced Assets) to other govt. units
224001 Medical Supplies
224004 Cleaning and Sanitation
224005 Uniforms, Beddings and Protective Gear
224006 Agricultural Supplies
225001 Consultancy Services- Short term
225002 Consultancy Services- Long-term
225003 Taxes on (Professional) Services
226001 Insurances
227001 Travel inland
227002 Travel abroad
228001 Maintenance - Civil
228002 Maintenance - Vehicles
228003 Maintenance – Machinery, Equipment & Furniture
282101 Donations",Unknown,94.78,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"0301 Energy Planning,Management & Infrastructure
Dev't
0302 Large Hydro power infrastructure
0303 Petroleum Exploration, Development, Production,
Value Addition and Distribution and Petrolleum Products
0305 Mineral Exploration, Development & Value
Addition
0349 Policy, Planning and Support Services",Unknown,939.36,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme 0303 Petroleum Exploration, Development,
Production, Value Addition and Distribution and
Petrolleum Products",Unknown,76.02,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"04 Directorate of Petroleum
12 Petroleum Exploration, Development and Production
(Upstream) Department
13 Midstream Petroleum Department
14 Petroleum Supply (Downstream) Department",Unknown,2.05,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"1184 Construction of Oil Refinery
1352 Midstream Petroleum Infrastructure Development
Project
1355 Strengthening the Development and Production Phases
of Oil and Gas Sector
1410 Skills for Oil and Gas Africa (SOGA)",Unknown,12.41,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Programme: 0303 Petroleum Exploration, Development, 4.51 4.51 4.51 100.0% 100.0% 100.0%
Production, Value Addition and Distribution and
Petrolleum Products
Development Projects.
1410 Skills for Oil and Gas Africa (SOGA) 4.51 4.51 4.51 100.0% 100.0% 100.0%",Unknown,4.51,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"03 Petroleum Exploration
04 Development and Production
05 Refinery, Conversion, Transmission and Storage
06 Environmental and Data Management
07 Technical Support Services",Unknown,3.27,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",Unknown,84.22,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",Unknown,84.22,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"0701 Pre-Primary and Primary Education
0702 Secondary Education
0704 Higher Education
0705 Skills Development
0706 Quality and Standards
0707 Physical Education and Sports
0710 Special Needs Education
0711 Guidance and Counselling
0749 Policy, Planning and Support Services",Unknown,84.22,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme 0701 Pre-Primary and Primary Education,Unknown,36.18,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme 0701 Pre-Primary and Primary Education,Unknown,36.18,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",Unknown,18.82,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",Unknown,18.82,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"02 Basic Education
1296 Uganda Teacher and School Effectiveness Project
1339 Emergency Construction of Primary Schools Phase II",Unknown,18.82,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme 0702 Secondary Education,Unknown,11.57,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme 0702 Secondary Education,Unknown,11.57,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"03 Secondary Education
14 Private Schools Department
1540 Development of Secondary Education Phase II",Unknown,4.38,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"03 Secondary Education
14 Private Schools Department
1540 Development of Secondary Education Phase II",Unknown,4.38,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"03 Secondary Education
14 Private Schools Department
1540 Development of Secondary Education Phase II",Unknown,4.38,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme 0704 Higher Education,Unknown,62.71,,,,,,ABPR%20FY%202019-20.pdf
013,Education,07 Higher Education,Unknown,53.42,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"1241 Development of Uganda Petroleum Institute Kigumba
1273 Support to Higher Education, Science & Technology
1491 African Centers of Excellence II",Unknown,5.0,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"0942 Development of BTVET
1310 Albertine Region Sustainable Development Project
1338 Skills Development Project
1368 John Kale Institute of Science and Technology
(JKIST)
1378 Support to the Implementation of Skilling Uganda
Strategy (BTC)
1412 The Technical Vocational Education and Training
(TVET-LEAD)
1432 OFID Funded Vocational Project Phase II",Unknown,15.97,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"04 Teacher Education
09 Education Standards Agency
1340 Development of PTCs Phase II
1457 Improvement of Muni and Kaliro National Teachers
Colleges
1458 Improvement of Secondary Teachers Education-
Kabale and Mubende NTCs",Unknown,12.16,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"04 Teacher Education
09 Education Standards Agency
1340 Development of PTCs Phase II
1457 Improvement of Muni and Kaliro National Teachers
Colleges
1458 Improvement of Secondary Teachers Education-
Kabale and Mubende NTCs",Unknown,12.16,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme 0707 Physical Education and Sports,Unknown,33.2,,,,,,ABPR%20FY%202019-20.pdf
013,Education,Programme 0710 Special Needs Education,Unknown,2.63,,,,,,ABPR%20FY%202019-20.pdf
013,Education,06 Special Needs Education and Career Guidance,Unknown,0.93,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"1308 Development and Improvement of Special Needs
Education (SNE)",Unknown,1.7,,,,,,ABPR%20FY%202019-20.pdf
010,Agriculture,"Class: Outputs Provided
211101 General Staff Salaries
211102 Contract Staff Salaries
211103 Allowances (Inc. Casuals, Temporary)
212101 Social Security Contributions
212102 Pension for General Civil Service
212201 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221016 IFMS Recurrent costs
221017 Subscriptions
221020 IPPS Recurrent Costs
222001 Telecommunications
222002 Postage and Courier
222003 Information and communications technology (ICT)
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
223901 Rent – (Produced Assets) to other govt. units
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
227001 Travel inland
227002 Travel abroad
227004 Fuel, Lubricants and Oils",Unknown,116.07,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"Programme: 0701 Pre-Primary and Primary Education 48.04 48.93 42.08 101.9% 87.6% 86.0%
Development Projects.
1296 Uganda Teacher and School Effectiveness Project 48.04 48.93 42.08 101.9% 87.6% 86.0%",Unknown,48.04,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"Programme: 0701 Pre-Primary and Primary Education 48.04 48.93 42.08 101.9% 87.6% 86.0%
Development Projects.
1296 Uganda Teacher and School Effectiveness Project 48.04 48.93 42.08 101.9% 87.6% 86.0%",Unknown,48.04,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"Programme: 0704 Higher Education 18.70 40.84 29.03 218.4% 155.3% 71.1%
Development Projects.
1273 Support to Higher Education, Science & Technology 0.00 33.53 12.92 3,352.9% 1,292.0% 38.5%
1491 African Centers of Excellence II 18.70 7.31 16.11 39.1% 86.2% 220.5%",Unknown,18.7,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"Programme: 0706 Quality and Standards 16.30 41.41 37.65 254.1% 231.0% 90.9%
Development Projects.
1458 Improvement of Secondary Teachers Education- 16.30 41.41 37.65 254.1% 231.0% 90.9%
Kabale and Mubende NTCs",Unknown,16.3,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"Programme: 0706 Quality and Standards 16.30 41.41 37.65 254.1% 231.0% 90.9%
Development Projects.
1458 Improvement of Secondary Teachers Education- 16.30 41.41 37.65 254.1% 231.0% 90.9%
Kabale and Mubende NTCs",Unknown,16.3,,,,,,ABPR%20FY%202019-20.pdf
013,Education,"0713 Support Services Programme
0714 Delivery of Tertiary Education Programme",Unknown,14.92,,,,,,ABPR%20FY%202019-20.pdf
